<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-3.19,5,20190117,142500,67114.0000000,67129.0000000,67111.0000000,67128.0000000,4793
SPFB.Si-3.19,5,20190117,143000,67126.0000000,67140.0000000,67107.0000000,67114.0000000,5853
SPFB.Si-3.19,5,20190117,143500,67115.0000000,67125.0000000,67092.0000000,67092.0000000,4311
SPFB.Si-3.19,5,20190117,144000,67095.0000000,67103.0000000,67064.0000000,67071.0000000,10000
SPFB.Si-3.19,5,20190117,144500,67070.0000000,67084.0000000,67058.0000000,67068.0000000,5787
SPFB.Si-3.19,5,20190117,145000,67068.0000000,67085.0000000,67052.0000000,67065.0000000,5611
SPFB.Si-3.19,5,20190117,145500,67062.0000000,67073.0000000,67042.0000000,67061.0000000,7172
SPFB.Si-3.19,5,20190117,150000,67061.0000000,67081.0000000,67058.0000000,67074.0000000,5502
SPFB.Si-3.19,5,20190117,150500,67072.0000000,67089.0000000,67068.0000000,67083.0000000,4607
SPFB.Si-3.19,5,20190117,151000,67083.0000000,67101.0000000,67067.0000000,67087.0000000,8638
SPFB.Si-3.19,5,20190117,151500,67088.0000000,67095.0000000,67079.0000000,67094.0000000,4786
SPFB.Si-3.19,5,20190117,152000,67093.0000000,67117.0000000,67092.0000000,67108.0000000,5306
SPFB.Si-3.19,5,20190117,152500,67108.0000000,67121.0000000,67094.0000000,67120.0000000,11262
SPFB.Si-3.19,5,20190117,153000,67119.0000000,67129.0000000,67105.0000000,67112.0000000,5210
SPFB.Si-3.19,5,20190117,153500,67110.0000000,67130.0000000,67110.0000000,67121.0000000,4529
SPFB.Si-3.19,5,20190117,154000,67123.0000000,67150.0000000,67119.0000000,67123.0000000,10664
SPFB.Si-3.19,5,20190117,154500,67123.0000000,67136.0000000,67112.0000000,67124.0000000,4724
SPFB.Si-3.19,5,20190117,155000,67124.0000000,67139.0000000,67112.0000000,67133.0000000,3655
SPFB.Si-3.19,5,20190117,155500,67136.0000000,67138.0000000,67046.0000000,67068.0000000,22320
SPFB.Si-3.19,5,20190117,160000,67068.0000000,67096.0000000,67065.0000000,67094.0000000,7370
SPFB.Si-3.19,5,20190117,160500,67094.0000000,67155.0000000,67093.0000000,67121.0000000,15965
SPFB.Si-3.19,5,20190117,161000,67122.0000000,67147.0000000,67101.0000000,67143.0000000,8706
SPFB.Si-3.19,5,20190117,161500,67143.0000000,67195.0000000,67137.0000000,67184.0000000,22301
SPFB.Si-3.19,5,20190117,162000,67186.0000000,67229.0000000,67182.0000000,67222.0000000,21478
SPFB.Si-3.19,5,20190117,162500,67222.0000000,67226.0000000,67165.0000000,67172.0000000,15762
SPFB.Si-3.19,5,20190117,163000,67172.0000000,67199.0000000,67165.0000000,67180.0000000,6631
SPFB.Si-3.19,5,20190117,163500,67178.0000000,67202.0000000,67131.0000000,67176.0000000,39896
SPFB.Si-3.19,5,20190117,164000,67176.0000000,67195.0000000,67156.0000000,67194.0000000,6266
SPFB.Si-3.19,5,20190117,164500,67194.0000000,67211.0000000,67156.0000000,67165.0000000,6494
SPFB.Si-3.19,5,20190117,165000,67165.0000000,67189.0000000,67136.0000000,67189.0000000,14763
SPFB.Si-3.19,5,20190117,165500,67189.0000000,67195.0000000,67138.0000000,67144.0000000,7079
SPFB.Si-3.19,5,20190117,170000,67146.0000000,67163.0000000,67139.0000000,67152.0000000,5458
SPFB.Si-3.19,5,20190117,170500,67151.0000000,67200.0000000,67151.0000000,67188.0000000,10137
SPFB.Si-3.19,5,20190117,171000,67187.0000000,67218.0000000,67178.0000000,67209.0000000,8353
SPFB.Si-3.19,5,20190117,171500,67211.0000000,67220.0000000,67193.0000000,67211.0000000,7223
SPFB.Si-3.19,5,20190117,172000,67212.0000000,67220.0000000,67190.0000000,67207.0000000,6670
SPFB.Si-3.19,5,20190117,172500,67208.0000000,67250.0000000,67205.0000000,67242.0000000,10461
SPFB.Si-3.19,5,20190117,173000,67245.0000000,67250.0000000,67228.0000000,67238.0000000,8554
SPFB.Si-3.19,5,20190117,173500,67238.0000000,67253.0000000,67216.0000000,67233.0000000,18110
SPFB.Si-3.19,5,20190117,174000,67234.0000000,67238.0000000,67175.0000000,67196.0000000,11832
SPFB.Si-3.19,5,20190117,174500,67198.0000000,67199.0000000,67170.0000000,67188.0000000,8146
SPFB.Si-3.19,5,20190117,175000,67188.0000000,67196.0000000,67170.0000000,67170.0000000,4359
SPFB.Si-3.19,5,20190117,175500,67170.0000000,67193.0000000,67165.0000000,67188.0000000,6635
SPFB.Si-3.19,5,20190117,180000,67191.0000000,67209.0000000,67163.0000000,67204.0000000,15546
SPFB.Si-3.19,5,20190117,180500,67207.0000000,67220.0000000,67178.0000000,67189.0000000,10589
SPFB.Si-3.19,5,20190117,181000,67189.0000000,67211.0000000,67181.0000000,67203.0000000,15901
SPFB.Si-3.19,5,20190117,181500,67203.0000000,67215.0000000,67178.0000000,67187.0000000,5940
SPFB.Si-3.19,5,20190117,182000,67186.0000000,67202.0000000,67159.0000000,67195.0000000,6567
SPFB.Si-3.19,5,20190117,182500,67196.0000000,67216.0000000,67190.0000000,67190.0000000,4926
SPFB.Si-3.19,5,20190117,183000,67190.0000000,67191.0000000,67160.0000000,67168.0000000,10333
