<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Eu-3.19,5,20190117,153500,76894.0000000,76925.0000000,76890.0000000,76925.0000000,604
SPFB.Eu-3.19,5,20190117,154000,76917.0000000,76945.0000000,76916.0000000,76928.0000000,756
SPFB.Eu-3.19,5,20190117,154500,76928.0000000,76940.0000000,76921.0000000,76939.0000000,392
SPFB.Eu-3.19,5,20190117,155000,76934.0000000,76942.0000000,76921.0000000,76935.0000000,1188
SPFB.Eu-3.19,5,20190117,155500,76938.0000000,76942.0000000,76843.0000000,76866.0000000,1992
SPFB.Eu-3.19,5,20190117,160000,76865.0000000,76885.0000000,76861.0000000,76874.0000000,421
SPFB.Eu-3.19,5,20190117,160500,76884.0000000,76940.0000000,76884.0000000,76936.0000000,540
SPFB.Eu-3.19,5,20190117,161000,76925.0000000,76931.0000000,76901.0000000,76925.0000000,153
SPFB.Eu-3.19,5,20190117,161500,76931.0000000,76957.0000000,76916.0000000,76939.0000000,567
SPFB.Eu-3.19,5,20190117,162000,76946.0000000,76989.0000000,76939.0000000,76989.0000000,775
SPFB.Eu-3.19,5,20190117,162500,76985.0000000,76996.0000000,76920.0000000,76920.0000000,1799
SPFB.Eu-3.19,5,20190117,163000,76929.0000000,76969.0000000,76929.0000000,76945.0000000,457
SPFB.Eu-3.19,5,20190117,163500,76949.0000000,76957.0000000,76839.0000000,76855.0000000,3390
SPFB.Eu-3.19,5,20190117,164000,76856.0000000,76885.0000000,76855.0000000,76885.0000000,242
SPFB.Eu-3.19,5,20190117,164500,76889.0000000,76905.0000000,76840.0000000,76851.0000000,707
SPFB.Eu-3.19,5,20190117,165000,76860.0000000,76906.0000000,76841.0000000,76906.0000000,388
SPFB.Eu-3.19,5,20190117,165500,76906.0000000,76911.0000000,76869.0000000,76869.0000000,413
SPFB.Eu-3.19,5,20190117,170000,76874.0000000,76901.0000000,76868.0000000,76900.0000000,153
SPFB.Eu-3.19,5,20190117,170500,76906.0000000,76970.0000000,76901.0000000,76956.0000000,281
SPFB.Eu-3.19,5,20190117,171000,76956.0000000,76979.0000000,76944.0000000,76965.0000000,332
SPFB.Eu-3.19,5,20190117,171500,76964.0000000,76967.0000000,76932.0000000,76935.0000000,336
SPFB.Eu-3.19,5,20190117,172000,76941.0000000,76950.0000000,76914.0000000,76932.0000000,443
SPFB.Eu-3.19,5,20190117,172500,76932.0000000,76972.0000000,76932.0000000,76972.0000000,324
SPFB.Eu-3.19,5,20190117,173000,76969.0000000,76972.0000000,76939.0000000,76950.0000000,329
SPFB.Eu-3.19,5,20190117,173500,76950.0000000,76972.0000000,76920.0000000,76936.0000000,466
SPFB.Eu-3.19,5,20190117,174000,76942.0000000,76958.0000000,76913.0000000,76913.0000000,233
SPFB.Eu-3.19,5,20190117,174500,76912.0000000,76919.0000000,76882.0000000,76900.0000000,496
SPFB.Eu-3.19,5,20190117,175000,76897.0000000,76900.0000000,76872.0000000,76876.0000000,359
SPFB.Eu-3.19,5,20190117,175500,76876.0000000,76890.0000000,76859.0000000,76890.0000000,194
SPFB.Eu-3.19,5,20190117,180000,76890.0000000,76910.0000000,76849.0000000,76893.0000000,467
SPFB.Eu-3.19,5,20190117,180500,76904.0000000,76923.0000000,76888.0000000,76888.0000000,7309
SPFB.Eu-3.19,5,20190117,181000,76903.0000000,76915.0000000,76896.0000000,76900.0000000,354
SPFB.Eu-3.19,5,20190117,181500,76901.0000000,76911.0000000,76877.0000000,76897.0000000,219
SPFB.Eu-3.19,5,20190117,182000,76886.0000000,76903.0000000,76864.0000000,76903.0000000,110
SPFB.Eu-3.19,5,20190117,182500,76904.0000000,76921.0000000,76900.0000000,76911.0000000,33
