<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<INDEX>
SPFB.Si-3.18	5	20171226	155000	59065	59065	59050	59053	883	339
SPFB.Si-3.18	5	20171226	155500	59060	59075	59059	59067	905	340
SPFB.Si-3.18	5	20171226	160000	59024	59027	59013	59020	697	341
SPFB.Si-3.18	5	20171226	160500	59032	59043	59018	59043	358	342
SPFB.Si-3.18	5	20171226	161000	59033	59033	59033	59033	3	343
SPFB.Si-3.18	5	20171226	161500	59043	59045	59043	59045	215	344
SPFB.Si-3.18	5	20171226	162000	59047	59047	59042	59042	133	345
SPFB.Si-3.18	5	20171226	163000	59037	59037	59033	59033	7	346
SPFB.Si-3.18	5	20171226	164000	59070	59070	59070	59070	6	347
SPFB.Si-3.18	5	20171226	164500	59062	59069	59062	59069	464	348
SPFB.Si-3.18	5	20171226	165000	59069	59069	59064	59064	120	349
SPFB.Si-3.18	5	20171226	165500	59042	59045	59040	59045	170	350
SPFB.Si-3.18	5	20171226	170000	59057	59057	59024	59024	162	351
SPFB.Si-3.18	5	20171226	170500	59007	59020	59000	59000	466	352
SPFB.Si-3.18	5	20171226	171000	59001	59001	58972	58972	66	353
SPFB.Si-3.18	5	20171226	171500	58975	59004	58975	59004	689	354
SPFB.Si-3.18	5	20171226	172000	59010	59027	59003	59015	1757	355
SPFB.Si-3.18	5	20171226	172500	59012	59030	59012	59030	900	356
SPFB.Si-3.18	5	20171226	173000	59028	59090	59023	59060	1496	357
SPFB.Si-3.18	5	20171226	173500	59040	59040	59040	59040	449	358
SPFB.Si-3.18	5	20171226	174000	59045	59045	59033	59033	653	359
SPFB.Si-3.18	5	20171226	175000	59049	59049	59049	59049	112	360
SPFB.Si-3.18	5	20171226	175500	59042	59042	59032	59032	431	361
SPFB.Si-3.18	5	20171226	180000	59039	59040	59039	59039	114	362
SPFB.Si-3.18	5	20171226	180500	59029	59040	59029	59031	576	363
SPFB.Si-3.18	5	20171226	181000	59030	59034	59027	59034	578	364
SPFB.Si-3.18	5	20171226	181500	59033	59033	59024	59024	2	365
SPFB.Si-3.18	5	20171226	182000	59035	59035	59035	59035	2	366
